Genus,Species,GenusSpecies,COMMONNAME,Common,Combined
Prunus,cistena,Prunus cistena,Purple-leaved sand cherry,"Cherry, Sand",Purple-leaved sand cherry/Prunus cistena
Prunus,pensylvanica,Prunus pensylvanica,Pin cherry,"Cherry, Pin",Pin cherry/Prunus pensylvanica
Prunus,persica,Prunus persica,Peach,Peach,Peach/Prunus persica
Prunus,sargentii,Prunus sargentii,Sargent cherry,"Cherry, Sargent",Sargent cherry/Prunus sargentii
Prunus,serotina,Prunus serotina,Black cherry,"Cherry, Black",Black cherry/Prunus serotina
Prunus,spp.,Prunus spp.,Cherry species,"Cherry, Species",Cherry species/Prunus spp.
Prunus,virginiana,Prunus virginiana,Choke cherry,"Cherry, Choke",Choke cherry/Prunus virginiana
Prunus,subhirtella,Prunus subhirtella,Winter-flowering cherry,"Cherry, Winter-flowering",Winter-flowering cherry/Prunus subhirtella
Pseudotsuga,menziesii,Pseudotsuga menziesii,Douglas fir,"Fir, Douglas",Douglas fir/Pseudotsuga menziesii
Ptelea,trifoliata,Ptelea trifoliata,Wafer ash,"Ash, wafer",Wafer ash/Ptelea trifoliata
Pyrus,calleryana,Pyrus calleryana,Callery pear,"Pear, Callery",Callery pear/Pyrus calleryana
Pyrus,communis,Pyrus communis,Common pear,"Pear, Common",Common pear/Pyrus communis
Pyrus,spp.,Pyrus spp.,Pear species,"Pear, Species",Pear species/Pyrus spp.
Quercus,acerifolia,Quercus acerifolia,Maple-leaved oak,"Oak, Maple-leaved",Maple-leaved oak/Quercus acerifolia
Quercus,acutissima,Quercus acutissima,Sawtooth oak,"Oak, Sawtooth",Sawtooth oak/Quercus acutissima
Quercus,alba,Quercus alba,White oak,"Oak, White",White oak/Quercus alba
Quercus,bebbiana,Quercus bebbiana,Bebb's oak,"Oak, Bebb's",Bebb's oak/Quercus bebbiana
Quercus,bicolor,Quercus bicolor,Swamp white oak,"White, Swamp",Swamp white oak/Quercus bicolor
Quercus,coccinea,Quercus coccinea,Scarlet oak,"Oak, Scarlet",Scarlet oak/Quercus coccinea
Quercus,ellipsoidalis,Quercus ellipsoidalis,Hill's oak,"Oak, Hill's",Hill's oak/Quercus ellipsoidalis
