Genus,Species,GenusSpecies,COMMONNAME,Common,Combined
Unknown,spp.,Unknown spp.,Unknown species,"Species, Unknown",Unknown species/Unknown spp.
Viburnum,acerifolium,Viburnum acerifolium,Mapleleaf viburnum,"Viburnum, Mapleleaf",Mapleleaf viburnum/Viburnum acerifolium
Viburnum,lentago,Viburnum lentago,Nannyberry viburnum,"Viburnum, Nannyberry",Nannyberry viburnum/Viburnum lentago
Viburnum,prunifolium,Viburnum prunifolium,Blackhaw viburnum,"Viburnum, Blackhaw",Blackhaw viburnum/Viburnum prunifolium
Viburnum,rhytidophyllum,Viburnum rhytidophyllum,Leatherleaf viburnum,"Viburnum, Leatherleaf",Leatherleaf viburnum/Viburnum rhytidophyllum
Viburnum,spp.,Viburnum spp.,Viburnum species,"Viburnum, Species",Viburnum species/Viburnum spp.
Viburnum,trilobum,Viburnum trilobum,American cranberrybush,"Cranberrybush, American",American cranberrybush/Viburnum trilobum
Zanthoxylum,americanum,Zanthoxylum americanum,Prickly ash,"Ash, Prickly",Prickly ash/Zanthoxylum americanum
Zelkova,serrata,Zelkova serrata,Japanese zelkova,"Zelkova, Japanese",Japanese zelkova/Zelkova serrata
Zelkova,spp.,Zelkova spp.,Zelkova species,"Species, Zelkova",Zelkova species/Zelkova spp.
